"Date,""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"Jul 21,""53.11"",""56.70"",""58.64"",""50.87"",""-"",""-6.30%"""
"Jun 21,""56.68"",""51.90"",""56.68"",""49.28"",""29.76K"",""9.63%"""
"May 21,""51.70"",""48.95"",""56.90"",""48.40"",""757.22K"",""5.86%"""
"Apr 21,""48.84"",""42.50"",""49.41"",""42.10"",""533.12K"",""14.78%"""
"Mar 21,""42.55"",""37.44"",""43.77"",""36.65"",""724.45K"",""14.14%"""
"Feb 21,""37.28"",""32.95"",""40.64"",""32.56"",""684.04K"",""13.14%"""
"Jan 21,""32.95"",""32.70"",""35.42"",""31.29"",""444.55K"",""0.70%"""
"Dec 20,""32.72"",""29.42"",""33.50"",""28.76"",""362.80K"",""11.52%"""
"Nov 20,""29.34"",""23.81"",""29.60"",""22.98"",""161.50K"",""22.86%"""
"Oct 20,""23.88"",""27.34"",""27.94"",""23.07"",""106.61K"",""-12.01%"""
"Sep 20,""27.14"",""29.13"",""31.06"",""26.00"",""101.39K"",""-6.48%"""
"Aug 20,""29.02"",""26.67"",""30.42"",""25.32"",""64.62K"",""8.93%"""
"Jul 20,""26.64"",""27.10"",""31.10"",""25.18"",""103.05K"",""-2.31%"""
"Jun 20,""27.27"",""21.71"",""27.52"",""21.26"",""82.77K"",""25.32%"""
"May 20,""21.76"",""19.90"",""22.52"",""18.74"",""48.01K"",""9.13%"""
"Apr 20,""19.94"",""17.55"",""22.51"",""17.17"",""71.52K"",""10.59%"""
"Mar 20,""18.03"",""24.17"",""24.40"",""14.71"",""100.88K"",""-24.24%"""
"Feb 20,""23.80"",""24.01"",""26.01"",""23.10"",""37.07K"",""-1.08%"""
"Jan 20,""24.06"",""24.90"",""26.07"",""23.63"",""27.87K"",""-3.22%"""
"Dec 19,""24.86"",""25.52"",""27.34"",""24.02"",""24.42K"",""-2.93%"""
"Nov 19,""25.61"",""26.32"",""26.34"",""23.63"",""26.43K"",""-1.61%"""
"Oct 19,""26.03"",""25.02"",""26.97"",""22.63"",""38.25K"",""2.64%"""
"Sep 19,""25.36"",""26.65"",""27.95"",""25.38"",""23.73K"",""-5.90%"""
"Aug 19,""26.95"",""28.92"",""30.31"",""25.48"",""24.28K"",""-6.55%"""
"Jul 19,""28.84"",""27.61"",""30.75"",""26.60"",""26.23K"",""6.62%"""
"Jun 19,""27.05"",""24.80"",""28.20"",""24.35"",""34.16K"",""8.11%"""
"May 19,""25.02"",""26.40"",""27.42"",""24.95"",""8.11K"",""-7.16%"""
"Apr 19,""26.95"",""22.00"",""28.49"",""21.80"",""12.12K"",""20.85%"""
"Mar 19,""22.30"",""22.26"",""24.40"",""21.38"",""15.11K"",""-0.98%"""
"Feb 19,""22.52"",""22.65"",""24.97"",""19.45"",""30.87K"",""-3.22%"""
"Jan 19,""23.27"",""26.60"",""26.60"",""22.75"",""15.26K"",""-11.52%"""
"Dec 18,""26.30"",""22.23"",""26.69"",""19.80"",""9.43K"",""19.17%"""
"Nov 18,""22.07"",""17.10"",""22.95"",""16.50"",""11.85K"",""24.06%"""
"Oct 18,""17.79"",""23.31"",""25.45"",""16.73"",""16.20K"",""-24.71%"""
"Sep 18,""23.63"",""22.05"",""26.75"",""20.00"",""4.67K"",""4.93%"""
"Aug 18,""22.52"",""18.82"",""22.98"",""18.64"",""9.50K"",""20.17%"""
"Jul 18,""18.74"",""16.94"",""18.75"",""16.94"",""4.13K"",""17.12%"""
"Jun 18,""16.00"",""16.65"",""17.16"",""15.23"",""3.29K"",""1.52%"""
"May 18,""15.76"",""16.04"",""17.32"",""15.81"",""0.09K"",""10.44%"""
"Apr 18,""14.27"",""13.22"",""14.45"",""13.22"",""0.67K"",""3.93%"""
"Mar 18,""13.73"",""11.61"",""14.57"",""11.41"",""2.35K"",""30.64%"""
"Feb 18,""10.51"",""9.25"",""10.18"",""8.99"",""0.82K"",""8.91%"""
"Jan 18,""9.65"",""8.30"",""9.65"",""8.30"",""1.01K"",""13.66%"""
"Dec 17,""8.49"",""7.60"",""8.04"",""7.55"",""0.12K"",""8.02%"""
"Nov 17,""7.86"",""7.35"",""7.74"",""7.35"",""46.83K"",""1.95%"""
"Oct 17,""7.71"",""7.90"",""7.90"",""7.89"",""0.00K"",""2.66%"""
"Sep 17,""7.51"",""6.88"",""6.88"",""6.88"",""0.20K"",""16.25%"""
"Aug 17,""6.46"",""5.43"",""6.12"",""5.43"",""0.20K"",""14.34%"""
"Jul 17,""5.65"",""5.75"",""5.75"",""5.73"",""0.76K"",""5.81%"""
"Jun 17,""5.34"",""5.04"",""5.04"",""4.89"",""0.72K"",""1.33%"""
"May 17,""5.27"",""5.41"",""5.41"",""5.41"",""0.01K"",""8.44%"""
"Apr 17,""4.86"",""4.79"",""4.90"",""4.70"",""0.02K"",""-2.02%"""
"Mar 17,""4.96"",""5.31"",""5.98"",""4.58"",""11.91K"",""-9.65%"""
"Feb 17,""5.49"",""5.15"",""5.40"",""4.90"",""0.23K"",""-2.14%"""
"Jan 17,""5.61"",""5.64"",""5.68"",""4.66"",""0.10K"",""-14.22%"""
"Dec 16,""6.54"",""4.62"",""5.89"",""3.97"",""264.40K"",""42.79%"""
"Nov 16,""4.58"",""5.97"",""6.52"",""4.35"",""37.99K"",""-22.37%"""
"Oct 16,""5.90"",""5.22"",""5.93"",""5.22"",""0.03K"",""18.95%"""
"Sep 16,""4.96"",""4.35"",""5.19"",""3.97"",""0.14K"",""11.21%"""
"Aug 16,""4.46"",""4.56"",""4.87"",""4.49"",""1.23K"",""1.13%"""
"Jul 16,""4.41"",""4.46"",""4.85"",""4.40"",""0.12K"",""-1.12%"""
"Jun 16,""4.46"",""5.98"",""6.36"",""4.89"",""3.32K"",""-26.64%"""
"May 16,""6.08"",""5.83"",""5.97"",""5.81"",""2.56K"",""-1.46%"""
"Apr 16,""6.17"",""5.32"",""6.06"",""5.32"",""0.15K"",""18.65%"""
"Mar 16,""5.20"",""4.96"",""5.20"",""4.61"",""9.22K"",""4.21%"""
"Feb 16,""4.99"",""5.85"",""5.85"",""4.63"",""0.16K"",""-17.38%"""
"Jan 16,""6.04"",""8.06"",""8.06"",""5.90"",""6.56K"",""-26.52%"""
"Dec 15,""8.22"",""8.56"",""8.65"",""7.90"",""246.65K"",""-4.20%"""
"Nov 15,""8.58"",""8.50"",""8.62"",""8.38"",""0.04K"",""-0.58%"""
"Oct 15,""8.63"",""8.15"",""8.56"",""8.15"",""0.30K"",""6.15%"""
"Sep 15,""8.13"",""7.99"",""8.27"",""7.90"",""4.70K"",""0.99%"""
"Aug 15,""8.05"",""7.91"",""8.29"",""7.80"",""0.68K"",""2.55%"""
"Jul 15,""7.85"",""7.47"",""8.04"",""7.33"",""0.53K"",""5.80%"""
"Jun 15,""7.42"",""7.25"",""7.60"",""7.25"",""15.61K"",""1.37%"""
"May 15,""7.32"",""7.55"",""7.68"",""7.17"",""2.56K"",""-0.95%"""
"Apr 15,""7.39"",""7.03"",""7.50"",""6.80"",""5.63K"",""6.79%"""
"Mar 15,""6.92"",""7.01"",""7.07"",""6.23"",""58.79K"",""-2.54%"""
"Feb 15,""7.10"",""7.08"",""7.79"",""6.81"",""23.60K"",""0.28%"""
"Jan 15,""7.08"",""6.92"",""7.34"",""6.63"",""25.24K"",""-2.34%"""
"Dec 14,""7.25"",""7.03"",""7.26"",""6.45"",""265.77K"",""2.98%"""
"Nov 14,""7.04"",""6.50"",""7.21"",""6.47"",""73.84K"",""11.04%"""
"Oct 14,""6.34"",""5.78"",""6.31"",""5.50"",""7.85K"",""8.93%"""
"Sep 14,""5.82"",""6.32"",""6.37"",""5.65"",""16.93K"",""-8.78%"""
"Aug 14,""6.38"",""6.29"",""6.48"",""5.81"",""3.70K"",""3.07%"""
"Jul 14,""6.19"",""5.99"",""6.22"",""5.53"",""7.37K"",""6.54%"""
"Jun 14,""5.81"",""4.94"",""5.87"",""4.94"",""12.76K"",""15.05%"""
"May 14,""5.05"",""5.37"",""5.37"",""4.60"",""18.94K"",""-6.48%"""
"Apr 14,""5.40"",""4.66"",""5.74"",""4.55"",""22.62K"",""16.38%"""
"Mar 14,""4.64"",""7.28"",""7.28"",""3.97"",""30.83K"",""-34.28%"""
"Feb 14,""7.06"",""5.85"",""7.19"",""5.85"",""19.94K"",""28.36%"""
"Jan 14,""5.50"",""4.83"",""5.54"",""4.50"",""31.06K"",""13.87%"""
"Dec 13,""4.83"",""4.35"",""5.03"",""4.34"",""220.65K"",""10.78%"""
"Nov 13,""4.36"",""4.59"",""4.86"",""4.32"",""121.16K"",""-9.17%"""
"Oct 13,""4.80"",""5.16"",""5.35"",""4.53"",""4.84K"",""-4.38%"""
"Sep 13,""5.02"",""4.53"",""5.86"",""4.37"",""25.06K"",""10.33%"""
"Aug 13,""4.55"",""4.35"",""4.61"",""4.25"",""6.85K"",""5.57%"""
"Jul 13,""4.31"",""4.13"",""4.80"",""3.41"",""40.84K"",""3.11%"""
"Jun 13,""4.18"",""3.81"",""4.73"",""3.76"",""92.05K"",""6.91%"""
"May 13,""3.91"",""2.96"",""4.01"",""2.91"",""21.28K"",""27.36%"""
"Apr 13,""3.07"",""4.67"",""5.17"",""2.49"",""17.50K"",""-35.23%"""
"Mar 13,""4.74"",""4.76"",""4.87"",""3.38"",""63.38K"",""-1.25%"""
"Feb 13,""4.80"",""3.28"",""5.34"",""3.22"",""20.94K"",""45.02%"""
"Jan 13,""3.31"",""6.50"",""6.55"",""3.23"",""45.44K"",""-48.68%"""
"Dec 12,""6.45"",""6.08"",""7.21"",""5.61"",""287.24K"",""4.03%"""
"Nov 12,""6.20"",""8.13"",""8.75"",""5.89"",""75.80K"",""-24.67%"""
"Oct 12,""8.23"",""7.88"",""8.22"",""7.53"",""12.98K"",""3.78%"""
"Sep 12,""7.93"",""8.15"",""8.36"",""7.21"",""8.21K"",""-1.25%"""
"Aug 12,""8.03"",""6.91"",""8.30"",""6.91"",""4.14K"",""16.72%"""
"Jul 12,""6.88"",""8.20"",""8.24"",""6.50"",""19.62K"",""-16.10%"""
"Jun 12,""8.20"",""6.16"",""8.37"",""6.16"",""5.52K"",""30.78%"""
"May 12,""6.27"",""7.50"",""7.50"",""6.22"",""7.58K"",""-16.18%"""
"Apr 12,""7.48"",""6.89"",""7.50"",""5.89"",""5.79K"",""7.16%"""
"Mar 12,""6.98"",""8.57"",""9.00"",""6.50"",""22.78K"",""-16.31%"""
"Feb 12,""8.34"",""8.09"",""9.35"",""7.45"",""10.16K"",""6.38%"""
"Jan 12,""7.84"",""6.60"",""7.90"",""6.15"",""19.18K"",""12.48%"""
